movieId,title,genres
1084,Bonnie and Clyde (1967),"['Crime', 'Drama']"
912,Casablanca (1942),"['Drama', 'Romance']"
1197,"Princess Bride, The (1987)","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance']"
910,Some Like It Hot (1959),"['Comedy', 'Crime']"
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),"['Action', 'Adventure']"
1196,Star Wars: Episode V - The Empire Strikes Back (1980),"['Action', 'Adventure', 'Sci-Fi']"
904,Rear Window (1954),"['Mystery', 'Thriller']"
1206,"Clockwork Orange, A (1971)","['Crime', 'Drama', 'Sci-Fi', 'Thriller']"
908,North by Northwest (1959),"['Action', 'Adventure', 'Mystery', 'Romance', 'Thriller']"
1203,12 Angry Men (1957),['Drama']
1094,"Crying Game, The (1992)","['Drama', 'Romance', 'Thriller']"
1136,Monty Python and the Holy Grail (1975),"['Adventure', 'Comedy', 'Fantasy']"
1086,Dial M for Murder (1954),"['Crime', 'Mystery', 'Thriller']"
1127,"Abyss, The (1989)","['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
1103,Rebel Without a Cause (1955),['Drama']
